Star_id,T_eff
HD358,13800
HD465,11840
HD861,8100
HD965,7500
HD1909,12400
HD2453,9000
HD2628,7223
HD3883,7800
HD3980,8100
HD4382,13200
HD5550A,11400
HD5601,10300
HD5797,8000
HD7374,13150
HD8441,9130
HD8801,7560
HD9996A,10300
HD10221,11900
HD11636,9000
HD11753,10500
HD12098,7800
HD14392,11390
HD15089,8880
HD15144,8600
HD15385,8154
HD16727,14550
HD18104,11074
HD18296,11000
HD18557,7614
HD18610,8100
HD19400,14106
HD19832,12800
HD20320,7700
HD21336,7500
HD21912,8327
HD21933,12000
HD22128A,7560
HD22128B,7480
HD22316,12000
HD22470,
HD22615,8400
HD22920,
HD23281,7689
HD23325,7670
HD23631,9460
HD23924,8180
HD23950,13000
HD24141,8070
HD24712,7250
HD25267,
HD25823,12900
HD26385,11000
HD27045,7400
HD27295,12000
HD27309,11750
HD27376A,12750
HD27376B,12250
HD27628,7310
HD27650,10460
HD27749,7570
HD27962,9025
HD28226,7465
HD28355,7965
HD28546,7765
HD28929,12900
HD29479,8470
HD29499,7770
HD29578,7800
HD29589,14600
HD29647,12650
HD30085,11300
HD30210,8080
HD31373,13900
HD32549,10465
HD32633,13900
HD32650,12545
HD32867,13149
HD32964A,11100
HD32964B,10900
HD33204,7670
HD33254,7830
HD33629,7150
HD33904,12800
HD34205,8200
HD34364A,10950
HD34364B,10350
HD34452,15000
HD34514,9800
HD35497,13250
HD35548A,11088
HD36484,8711
HD37492A,13325
HD37808,13100
HD37886,12540
HD38104,8895
HD39317,9980
HD40062,7030
HD40312,10500
HD40394,10500
HD40536,8100
HD40711,9328
HD40932A,8250
HD41269,10910
HD42035S,10740
HD42075,7590
HD42605,8250
HD42659,8100
HD42954,7384
HD43378,9295
HD43819,11300
HD43901,8000
HD44226,7900
HD44691A,7920
HD45583,12700
HD45975,12500
HD46665,9300
HD46886,12900
HD47009,8280
HD47103,8180
HD47278,11500
HD47756,13300
HD48915,9900
HD49606,14400
HD49713,12000
HD49886,13000
HD49976,9400
HD50773,8300
HD52847,8200
HD53004,11600
HD53244,13600
HD53588,12351
HD53851,13600
HD53929,14050
HD55362,13000
HD55540,8230
HD55579,10210
HD56495A,7800
HD58142,9500
HD58661,13460
HD60435,8100
HD60652,7647
HD61045,13000
HD62140,7900
HD62244,8550
HD63401,13500
HD63589,8122
HD63975,13500
HD64486,10610
HD65339,8500
HD65949,13600
HD65950,12910
HD66318,9200
HD67044,10519
HD67317,7165
HD67523,6920
HD68351,10740
HD68826A,13900
HD68826B,13200
HD68826C,12000
HD68826D,11500
HD69013,7500
HD70235,12253
HD70340,9590
HD71030,6780
HD71066,12000
HD71297,7712
HD72106A,11000
HD72208,10900
HD72316,9400
HD72660,9750
HD72942,8130
HD72968,10440
HD73045,7570
HD73174,8350
HD73618,8170
HD73666,9500
HD73709,8070
HD73711,8020
HD73730,8070
HD73731A,8120
HD73818,7232
HD74190,7944
HD74521,11000
HD74535,13600
HD74656,7800
HD75049,9700
HD75333,12250
HD75445,7700
HD77350,10375
HD78316,13200
HD78362,7390
HD79158,13700
HD79539,8500
HD83368,7750
HD83886,8638
HD88701,9800
HD89822A,10650
HD89822B,8900
HD90044,11085
HD90264,15126
HD90569,10521
HD91087,8500
HD92499,7810
HD92664,14500
HD95418,9600
HD95608,9200
HD96237,7800
HD96528,8310
HD96707,7780
HD97394,8000
HD97633,9250
HD98088A,8300
HD98088B,7500
HD98457,12000
HD101065,6622
HD101189,11020
HD101391,12500
HD102333,8240
HD103498,9500
HD105702,7500
HD106625,12125
HD106887,8291
HD106999,8148
HD107168,8283
HD107276,8000
HD107513,7279
HD107612,9030
HD108486,8148
HD108642,8079
HD108651,7900
HD108662,10665
HD108945,8400
HD109307,8396
HD110066,9000
HD110274,8135
HD110326,7076
HD111133,9930
HD112185,8340
HD112413,11600
HD115226,7640
HD115708,7550
HD116114,8000
HD116235,8900
HD116458,10300
HD116657,8470
HD117290,8000
HD118022,9950
HD119213,8630
HD119756,12900
HD120198,11000
HD121661,9250
HD122525,8250
HD122532,12100
HD122569,9600
HD122970,6930
HD122983,10700
HD123226,12400
HD123269,11600
HD124224,12800
HD124740,10350
HD124953,7600
HD125248,9850
HD126297,7750
HD128898,7900
HD129174,12700
HD133029,10700
HD133652,13000
HD133792,9400
HD133880,13000
HD134214,7315
HD135728A,8060
HD135728B,
HD135774,6917
HD136403,7670
HD136933,12400
HD137389,10220
HD137509,12750
HD137909,8000
HD137949,7750
HD138213,8500
HD140160,9090
HD140728,10980
HD141556,10750
HD141795,8420
HD143487,6930
HD143807,11000
HD144218,13000
HD144661,15800
HD144667,13990
HD144897,11250
HD145389,11525
HD147010,13000
HD147869,9240
HD148112,9470
HD148330,9750
HD149121,11000
HD151199,8820
HD151525,9820
HD152107,8730
HD153720A,7425
HD153720B,7125
HD154708,6800
HD155375,8610
HD157779,10840
HD158704,13163
HD159082,11100
HD159560,7390
HD162305,10580
HD162576,10300
HD162725,10000
HD162817,9940
HD164136,12000
HD165493,13890
HD166473,8000
HD168202,10500
HD168733,13500
HD169027,11500
HD169885,8050
HD170973,10750
HD171247,12300
HD172044,14500
HD172167,9400
HD172728,10505
HD172883,11300
HD173524A,11700
HD173524B,11100
HD173648,8170
HD173673,13000
HD174933A,13100
HD175362,16600
HD175640,12077
HD176232,7550
HD176843,7200
HD177765,8000
HD178065,12193
HD178875,7300
HD178892,7700
HD179761,13175
HD180239,8100
HD182308,13650
HD182564,9125
HD183056,13100
HD183262,7055
HD183806,10070
HD184471,7500
HD186122,13000
HD186774,10380
HD186995,7800
HD187091,8400
HD187139,10650
HD187254,8400
HD187474,10100
HD188041,8800
HD188136,7050
HD188911,7800
HD189849,7850
HD190165,7300
HD190229B,13200
HD190401,6877
HD191110B,11500
HD192913,11000
HD193452,10750
HD193472,7123
HD193722,11155
HD195725,7970
HD196426,13010
HD196502,8700
HD196544,9200
HD197461,7100
HD198391,9650
HD200311,13000
HD201601,7750
HD202149,11381
HD202671,13700
HD203932,7450
HD204188,7780
HD204411,8400
HD206088,7520
HD206546A,7920
HD207503,8100
HD207857,12975
HD209459,10400
HD209625,8000
HD212385,9200
HD213236,12315
HD213534,7632
HD213637,6400
HD214994,9600
HD215441,16500
HD216494A,12000
HD216494B,11500
HD216627,8750
HD216831,13100
HD217522,6750
HD220825,9700
HD220933,10950
HD221006,14700
HD221507,12400
HD221675,7223
HD223461,7879
HD223640,13500
HD225365,8800
HD225410,7900
HD225463,8300
HD225914,8100
HD304842,12500
HD318091,8700
HD318107,11800
HD320764,8820
CD-32-13109,9400
GSC07380-01211,6850
Platais1,10000
Stock16-12,8400
TYC148-2861-1,12500
TYC742-2169-1,13800
TYC2004-242-1,16430
TYC3134-1603-1,8300
TYC3143-1192-1,8000
TYC3143-1942-1,7800
TYC3545-2756-1,7200
TYC3614-2039-1,13000
TYC3614-2268-1,12900
TYC4621-106-1,11000
TYC4766-2446-1,13975
TYC6274-1181-1,12800
USNO-A2.0825-02993210,11750
USNO-A2.0825-03028353,12500
USNO-A2.0825-03036752,13500